PERIOD_BEGIN_DATE,YEAR,MONTH,SECTOR_SCENARIO_CD,CONSUMER_PRICE_INDEX,PERSONAL_DISPOSABLE_INCOME_REAL_LCU,GDP_NOMINAL_LCU,GDP_REAL_LCU,RETAIL_PRICES_INDEX,SHARE_PRICE_INDEX,UNEMP_RATE
01-09-2019,2019,9,5,98.98,14199.87,26821.4,26875,99.93,2938.88,3.02
01-10-2019,2019,10,1,99.63,14220.7,27679.8,27613.3,100.57,2946.75,3.03
01-10-2019,2019,10,2,99.63,14220.7,27679.8,27613.3,100.57,2946.75,3.03
01-10-2019,2019,10,3,99.63,14220.7,27679.8,27613.3,100.57,2946.75,3.03
01-10-2019,2019,10,4,99.63,14220.7,27679.8,27613.3,100.57,2946.75,3.03
01-10-2019,2019,10,5,99.63,14220.7,27679.8,27613.3,100.57,2946.75,3.03
01-11-2019,2019,11,1,100.16,13919.93,25310.77,25316.73,100.38,2944.7,3.06
01-11-2019,2019,11,2,100.16,13919.93,25310.77,25316.73,100.38,2944.7,3.06
01-11-2019,2019,11,3,100.16,13919.93,25310.77,25316.73,100.38,2944.7,3.06
01-11-2019,2019,11,4,100.16,13919.93,25310.77,25316.73,100.38,2944.7,3.06
01-11-2019,2019,11,5,100.16,13919.93,25310.77,25316.73,100.38,2944.7,3.06
01-12-2019,2019,12,1,100.68,13619.17,22941.73,23020.17,100.19,2942.64,3.1
01-12-2019,2019,12,2,100.68,13619.17,22941.73,23020.17,100.19,2942.64,3.1
01-12-2019,2019,12,3,100.68,13619.17,22941.73,23020.17,100.19,2942.64,3.1
01-12-2019,2019,12,4,100.68,13619.17,22941.73,23020.17,100.19,2942.64,3.1
01-12-2019,2019,12,5,100.68,13619.17,22941.73,23020.17,100.19,2942.64,3.1
01-01-2020,2020,1,1,101.21,13318.4,20572.7,20723.6,100,2940.59,3.13
01-01-2020,2020,1,2,101.21,13318.4,20572.7,20723.6,100,2940.59,3.13
01-01-2020,2020,1,3,101.21,13318.4,20572.7,20723.6,100,2940.59,3.13
01-01-2020,2020,1,4,101.21,13318.4,20572.7,20723.6,100,2940.59,3.13
01-01-2020,2020,1,5,101.21,13318.4,20572.7,20723.6,100,2940.59,3.13
01-02-2020,2020,2,1,100.54,13602.03,22014.63,22105.13,100,2918.13,3.16
01-02-2020,2020,2,2,100.54,13602.03,22014.63,22105.13,100,2918.13,3.16
01-02-2020,2020,2,3,100.54,13602.03,22014.63,22105.13,100,2918.13,3.16
01-02-2020,2020,2,4,100.54,13602.03,22014.63,22105.13,100,2918.13,3.16
01-02-2020,2020,2,5,100.54,13602.03,22014.63,22105.13,100,2918.13,3.16
01-03-2020,2020,3,1,99.87,13885.67,23456.57,23486.67,100,2895.66,3.2
01-03-2020,2020,3,2,99.87,13885.67,23456.57,23486.67,100,2895.66,3.2
01-03-2020,2020,3,3,99.87,13885.67,23456.57,23486.67,100,2895.66,3.2
01-03-2020,2020,3,4,99.87,13885.67,23456.57,23486.67,100,2895.66,3.2
